time,g_mean,g_min,g_max,g_sd,g_median,s_mean,s_min,s_max,s_sd,s_median,raw_value1,raw_value2,raw_value3,raw_value4,raw_value5,raw_value6,raw_value7,raw_value8,raw_value9,raw_value10,raw_value11,raw_value12,raw_value13,raw_value14,raw_value15,raw_value16,raw_value17,raw_value18,raw_value19,raw_value20,raw_value21,raw_value22,raw_value23,raw_value24,raw_value25,raw_value26,raw_value27,raw_value28,raw_value29,raw_value30,raw_value31,raw_value32,raw_value33,raw_value34,raw_value35,raw_value36,raw_value37,raw_value38,raw_value39,raw_value40,diff_mean,diff_min,diff_max,diff_sd,diff_median
2025-09-14 11:34:28,476.8,468.0,486.0,4.0,477.0,476.8,468,486,4.0,477,484,474,476,478,472,480,476,480,470,478,486,480,478,478,474,470,480,476,474,480,474,476,480,468,480,478,486,474,478,480,478,478,476,474,472,476,476,476,478,470,0.0,0.0,0.0,0.0,0.0
2025-09-14 11:39:35,476.5,466.0,486.0,4.6,476.0,476.5,466,486,4.6,476,246,480,476,474,478,478,476,0,476,468,480,470,478,472,476,482,470,482,478,484,472,480,486,476,486,472,474,476,476,482,476,478,466,482,474,476,472,474,476,474,0.0,0.0,0.0,0.0,0.0
2025-09-14 11:44:43,477.5,470.0,484.0,3.5,478.0,477.5,470,484,3.5,478,286,472,472,476,482,474,484,478,476,472,482,478,474,476,482,478,478,476,478,480,484,472,478,480,480,480,482,476,478,478,470,476,482,472,476,480,476,480,480,476,0.0,0.0,0.0,0.0,0.0
2025-09-14 11:49:52,476.1,468.0,484.0,4.1,476.0,476.1,468,484,4.1,476,0,478,480,474,472,472,476,478,478,470,478,480,476,482,482,480,484,474,474,474,480,474,470,470,478,476,460,474,476,474,474,482,470,478,480,478,468,484,472,472,0.0,0.0,0.0,0.0,0.0
2025-09-14 11:55:01,475.8,468.0,484.0,4.3,475.0,475.8,468,484,4.3,475,472,0,476,-2,474,474,480,482,474,474,474,476,474,484,476,476,480,0,476,472,474,474,482,470,474,470,472,468,476,0,484,484,480,476,474,468,480,480,472,478,0.0,0.0,0.0,0.0,0.0
2025-09-14 12:00:09,476.3,468.0,484.0,3.7,476.0,476.3,468,484,3.7,476,478,474,478,474,474,472,478,474,474,480,474,478,478,484,0,472,472,474,476,478,474,474,484,476,472,478,0,480,478,480,468,484,478,478,470,476,480,476,480,472,0.0,0.0,0.0,0.0,0.0
2025-09-14 12:05:18,477.7,468.0,484.0,3.9,478.0,477.7,468,484,3.9,478,0,484,482,484,478,478,476,480,478,472,476,480,480,478,478,472,0,478,476,482,468,480,478,-2,482,0,478,484,474,478,476,474,472,0,476,482,474,480,470,482,0.0,0.0,0.0,0.0,0.0
2025-09-14 12:10:27,476.5,466.0,484.0,4.2,476.0,476.5,466,484,4.2,476,310,478,482,478,474,476,472,474,476,474,478,480,480,472,476,482,474,482,478,474,476,476,484,474,472,484,476,478,472,480,484,476,480,472,466,474,480,472,468,480,0.0,0.0,0.0,0.0,0.0
2025-09-14 12:15:36,475.3,466.0,484.0,4.6,476.0,475.3,466,484,4.6,476,0,476,478,470,472,474,468,474,466,478,470,478,484,478,478,486,482,474,476,474,476,480,472,482,478,480,472,468,0,482,480,0,470,474,476,474,468,472,0,480,0.0,0.0,0.0,0.0,0.0
2025-09-14 12:20:46,475.8,468.0,484.0,3.7,476.0,475.8,468,484,3.7,476,478,478,470,478,470,478,480,476,482,478,470,478,480,474,472,474,472,476,476,472,472,0,480,476,474,478,482,476,474,484,470,474,468,476,0,480,476,474,478,476,0.0,0.0,0.0,0.0,0.0
2025-09-14 12:25:55,474.5,466.0,482.0,3.8,475.0,474.5,466,482,3.8,475,474,0,482,476,478,476,476,476,466,472,474,472,476,470,482,468,470,480,0,474,476,476,474,478,470,470,0,476,470,478,478,468,474,476,0,474,480,472,474,476,0.0,0.0,0.0,0.0,0.0
2025-09-14 12:31:04,476.1,468.0,484.0,4.1,476.0,476.1,468,484,4.1,476,482,478,0,482,480,484,474,476,484,476,476,480,480,468,474,474,468,0,476,468,480,474,476,478,476,470,478,478,474,0,474,476,472,476,474,0,478,474,472,480,0.0,0.0,0.0,0.0,0.0
2025-09-14 12:36:13,477.1,468.0,484.0,4.2,478.0,477.1,468,484,4.2,478,240,476,482,0,482,478,470,476,480,474,482,470,480,468,472,470,474,472,482,476,476,478,482,480,0,478,478,478,472,478,480,484,484,478,476,474,480,474,482,478,0.0,0.0,0.0,0.0,0.0
2025-09-14 12:41:21,476.7,470.0,486.0,3.9,476.0,476.7,470,486,3.9,476,0,474,-1,472,480,478,474,476,0,476,478,470,472,476,476,486,474,484,480,478,476,476,482,474,480,482,476,474,474,472,482,478,478,470,0,476,474,482,480,472,0.0,0.0,0.0,0.0,0.0
2025-09-14 12:46:28,475.0,468.0,480.0,3.5,474.0,475.0,468,480,3.5,474,474,478,480,480,476,476,472,480,468,478,474,474,474,468,480,476,474,474,476,474,470,478,474,474,470,474,474,478,480,476,476,474,480,478,472,478,478,474,468,468,0.0,0.0,0.0,0.0,0.0
2025-09-14 12:51:37,476.2,468.0,486.0,4.0,476.0,476.2,468,486,4.0,476,476,472,470,480,468,474,472,478,470,474,480,478,486,476,474,478,474,482,476,474,480,478,-1,472,474,482,482,484,476,476,476,470,476,480,476,476,476,474,474,0,0.0,0.0,0.0,0.0,0.0
2025-09-14 12:56:47,476.6,468.0,486.0,4.2,476.0,476.6,468,486,4.2,476,144,476,472,476,478,482,480,478,0,480,486,474,474,486,478,480,484,474,476,474,474,468,476,480,0,478,472,476,474,476,468,478,474,476,482,472,470,476,478,478,0.0,0.0,0.0,0.0,0.0
2025-09-14 13:01:56,476.1,466.0,486.0,4.0,476.0,476.1,466,486,4.0,476,0,478,476,472,478,476,474,474,470,476,476,0,476,480,480,476,482,476,478,480,476,474,480,474,476,472,486,476,474,466,478,482,480,468,0,470,472,478,476,480,0.0,0.0,0.0,0.0,0.0
2025-09-14 13:07:05,475.4,468.0,484.0,4.2,476.0,475.4,468,484,4.2,476,338,476,482,470,476,482,474,-1,468,472,472,478,476,478,472,478,472,478,470,478,472,470,468,482,478,478,478,478,-1,478,478,468,472,0,484,478,478,470,476,476,0.0,0.0,0.0,0.0,0.0
2025-09-14 13:12:15,475.9,466.0,486.0,4.5,476.0,475.9,466,486,4.5,476,0,478,486,474,474,474,476,476,486,478,466,472,480,476,472,474,470,470,478,-2,474,478,472,476,480,478,478,478,470,478,480,0,478,474,478,480,482,472,466,0,0.0,0.0,0.0,0.0,0.0
2025-09-14 13:17:24,475.2,466.0,484.0,3.9,476.0,475.2,466,484,3.9,476,0,476,476,478,478,472,476,0,472,470,474,480,482,480,466,476,478,470,476,478,474,476,474,476,474,480,472,470,470,478,480,476,474,472,478,472,0,468,484,476,0.0,0.0,0.0,0.0,0.0
2025-09-14 13:22:33,474.3,468.0,482.0,3.2,474.0,474.3,468,482,3.2,474,104,472,478,474,480,476,476,476,472,482,478,0,472,470,472,474,478,472,476,476,472,0,468,476,470,472,474,474,472,478,470,478,474,0,470,478,476,474,472,462,0.0,0.0,0.0,0.0,0.0
2025-09-14 13:27:42,474.6,466.0,484.0,4.6,474.0,474.6,466,484,4.6,474,0,0,484,470,474,478,474,466,472,474,482,470,470,476,470,478,480,474,0,478,476,476,474,470,478,478,0,480,466,482,486,468,474,0,474,468,480,476,472,0,0.0,0.0,0.0,0.0,0.0
2025-09-14 13:32:52,475.8,468.0,484.0,3.4,476.0,475.8,468,484,3.4,476,478,474,472,470,476,472,478,478,478,478,478,472,476,474,476,478,476,474,474,470,480,484,474,474,472,476,476,480,474,468,478,476,480,480,478,478,470,480,474,478,0.0,0.0,0.0,0.0,0.0
2025-09-14 13:38:01,474.9,464.0,484.0,4.6,474.0,474.9,464,484,4.6,474,0,472,470,486,474,478,474,482,472,0,474,480,472,468,484,472,478,476,480,468,474,480,474,472,476,472,464,476,476,472,482,472,478,466,474,476,480,482,474,478,0.0,0.0,0.0,0.0,0.0
2025-09-14 13:43:08,475.4,468.0,482.0,3.0,476.0,475.4,468,482,3.0,476,478,476,472,476,478,474,478,478,476,476,478,474,474,468,472,478,472,476,472,476,478,476,480,472,472,470,480,476,474,476,482,476,478,476,480,476,472,474,472,472,0.0,0.0,0.0,0.0,0.0
2025-09-14 13:48:18,475.3,470.0,484.0,3.3,476.0,475.3,470,484,3.3,476,482,472,-1,476,480,472,474,478,476,474,474,476,484,478,470,472,472,464,474,476,472,474,480,474,470,476,476,476,478,470,478,474,478,478,476,470,480,474,476,472,0.0,0.0,0.0,0.0,0.0
2025-09-14 13:53:27,476.8,468.0,484.0,3.8,476.0,476.8,468,484,3.8,476,470,472,470,468,476,482,482,480,476,474,474,480,476,478,480,478,480,484,482,474,470,478,476,474,478,476,0,482,480,478,480,474,476,478,474,482,474,478,474,476,0.0,0.0,0.0,0.0,0.0
2025-09-14 13:58:36,474.9,468.0,482.0,4.1,476.0,474.9,468,482,4.1,476,478,480,470,480,470,472,474,472,470,482,468,470,474,478,476,480,482,-1,480,472,472,476,468,470,470,470,476,470,478,476,478,474,472,478,476,480,476,480,476,476,0.0,0.0,0.0,0.0,0.0
2025-09-14 14:03:45,475.4,468.0,486.0,3.8,476.0,475.4,468,486,3.8,476,0,480,478,476,472,476,478,468,476,486,478,480,470,472,476,476,476,478,476,482,474,472,470,472,478,474,474,468,476,472,468,474,476,474,476,478,478,476,480,-2,0.0,0.0,0.0,0.0,0.0
2025-09-14 14:08:55,475.6,466.0,480.0,3.3,476.0,475.6,466,480,3.3,476,478,478,478,476,472,466,476,480,470,480,476,474,480,478,474,472,480,474,478,474,472,472,474,480,472,476,480,476,480,470,478,474,478,476,476,476,476,478,472,472,0.0,0.0,0.0,0.0,0.0
2025-09-14 14:14:04,474.9,468.0,482.0,3.5,474.0,474.9,468,482,3.5,474,476,472,470,478,472,474,468,472,478,476,472,480,474,470,478,478,474,472,472,478,474,476,474,482,468,474,476,472,482,472,480,482,472,476,474,476,476,476,476,474,0.0,0.0,0.0,0.0,0.0
2025-09-14 14:19:13,477.4,468.0,484.0,4.0,476.0,477.4,468,484,4.0,476,482,478,482,476,472,476,476,476,482,474,482,468,470,484,476,472,476,478,480,464,474,476,480,478,480,478,472,478,476,476,482,484,472,474,482,476,480,480,476,484,0.0,0.0,0.0,0.0,0.0
2025-09-14 14:24:23,476.5,468.0,484.0,3.4,476.0,476.5,468,484,3.4,476,484,474,476,478,480,478,474,482,476,470,476,478,472,474,480,476,476,474,478,474,480,472,474,476,472,478,476,472,480,480,476,476,478,478,478,482,468,462,480,476,0.0,0.0,0.0,0.0,0.0
2025-09-14 14:29:32,476.4,468.0,484.0,3.9,478.0,476.4,468,484,3.9,478,474,474,478,472,480,474,470,474,482,478,480,468,474,484,480,476,472,478,478,480,474,470,476,480,478,478,478,476,478,474,482,470,468,480,480,478,466,476,476,480,0.0,0.0,0.0,0.0,0.0
2025-09-14 14:34:41,476.1,466.0,484.0,3.8,476.0,476.1,466,484,3.8,476,480,478,478,476,478,478,472,480,484,480,476,472,476,482,470,474,468,476,474,482,474,478,478,476,478,472,472,0,482,474,478,466,0,476,478,472,478,476,476,474,0.0,0.0,0.0,0.0,0.0
2025-09-14 14:39:50,475.4,468.0,480.0,3.1,476.0,475.4,468,480,3.1,476,468,474,472,480,478,480,476,476,474,474,472,478,478,478,478,480,474,472,474,478,476,478,470,478,476,476,478,480,476,472,474,468,476,474,472,476,476,472,478,474,0.0,0.0,0.0,0.0,0.0
2025-09-14 14:45:00,475.7,468.0,482.0,4.0,476.0,475.7,468,482,4.0,476,480,474,0,470,478,476,476,478,478,474,482,474,478,472,474,476,478,482,482,478,476,474,482,474,482,478,0,472,470,470,480,470,470,478,472,472,480,474,468,474,0.0,0.0,0.0,0.0,0.0
2025-09-14 14:50:09,475.7,468.0,484.0,3.4,476.0,475.7,468,484,3.4,476,474,478,480,474,476,472,474,474,476,478,474,476,484,470,474,478,482,472,478,480,474,468,472,472,472,476,478,478,472,480,480,476,472,472,474,476,480,478,478,474,0.0,0.0,0.0,0.0,0.0
2025-09-14 14:55:18,475.7,470.0,482.0,2.5,476.0,475.7,470,482,2.5,476,478,474,476,474,474,476,478,472,474,474,472,470,476,478,476,474,472,478,478,474,472,474,474,476,474,476,478,478,482,474,476,474,476,476,478,476,478,480,480,476,0.0,0.0,0.0,0.0,0.0
2025-09-14 15:00:27,475.4,466.0,482.0,3.9,476.0,475.4,466,482,3.9,476,474,478,472,476,470,474,478,472,478,478,470,478,474,480,482,476,474,476,476,478,472,476,476,482,478,466,474,482,474,476,468,468,478,474,474,472,480,474,476,482,0.0,0.0,0.0,0.0,0.0
2025-09-14 15:05:37,476.1,470.0,484.0,3.8,476.0,476.1,470,484,3.8,476,480,476,478,480,482,480,478,478,476,472,480,480,474,474,478,474,470,480,474,480,474,476,472,480,474,476,-1,472,476,470,472,464,470,476,480,484,470,480,472,472,0.0,0.0,0.0,0.0,0.0
